game, winner
j10i9j8i8i7j9h7g9h9h6i10f7k7j7h10g10l10k10k9m11h12i11h11h13h8, b
j10i9h10h9j9i10i8g8f7j11k12g6g9l11k11k10i12j12j13j6k13k14f8e7i13l13g13h13i14i15h15g16f10f9h12i11g11j14e9, b
j10i9h10k9g9k10i10k13g10f10g8g11g6g7f8e7j12i11j11h9j13j14j9, b
j10i9h10h9g9i11i7k9k10i10i12j11g8j9l9h11g11g12f13k8, w
j10i9h10j9k9g9i10k10h12i11h9h11j11k12g8f7j13f10i8f8f9h8i7e10j12j14k6j7i6h6j5h7i4i5l7m8h3, b
j10i9j8k9i8h9j9j11j7j6k8h8m8l8m10l9k10l11l10i10n10, b
j10i9j8j7k9i11i7h6h8i8h9j6l10m11i10k10j11k12j9j12h11k8h10h12h7, b
j10i9j9j12h10h12i12j8i10k10g10f10h11j13g12f13k8, b
j10i9j9j7j8k8j12j11l9i10i11i8h9l8h10k13h12g13h11h13h8, b
j10i9j9j11i8h7g8l11j8h8h6j6h9j7i7k9g5f4e6f7g6g7f6d6i6, b
j10i9j8i8j9j7i11j11i7k9k8m8l7m6m7l9k10i10h9l11l10o9m9o7o10k11n10m10m11o8n9o6o5n7p5p9q10l5, w
j10i9h10i11j9j8l10i8i10k10g10f10l8l7g8j11m8h11g11g9k11n8l9h9i6n7n9j7i7m7k7o9l6j6l11l12i13j12m9k9m11o11m10k12p7m12o8, b
j10i9k9l8l10i7i10k10m11n12m8f10m9m10j12k11j9j11l7k8n9l9o10p11k6, b
j10i9j9j12j8j7i10l7h10k10g10f10g12h11m7m8g9g11j11f11e11i13h12l10k11o10n9f12f13f8f9l9m10l8l11l6, w
j10i9j9j8k7i8i11l8k8l7h12g13i10k10k6k5h11g12j11k11h9h10k12l13g8, b
j10i9h10i10i11k9j9j12i8j11h9h7j7k6j8j6h8g8i6k8k7l6m7l7h12h11g10f11g13f14f10g11e11g9d10e10f12h14c9, b
j10i9j9i10i8g6j8j7j11j12l8k8k9i11n6m7l10m11l11k10l9l12l7, b
j10i9j9i10i11j11i8g8h9k10j7g10j8j6l8k8k9h12m7, b
j10i9j9j8k7h10g11j12i11h12h11f11k11j11k8i10k12j13k13k10j14g10l9f10e10f12f13e12h9f8f9g12d12i12, w
j10i9j8j9h9i10i11i7i8l8h8g8h12g13h11h10f11g10g11e11j11, b
j10i9i10h10j8j11j9k8j6j7i6h11k6h6h8i11k11g11f11f12e13g9f8j12k13h12g12h13h14h9, w
j10i9k9m7k7k8i7h12j7h7j8h6j9j11j6, b
j10i9j8j9h9k9m9i8i10h10k12j11k10m10k11i5i7l10k13k14h7k7g7f7j6k5n10m11h5k8k6n12o13n11l9o11p11m13p10m12m14l13j15o10, w
j10i9h10i11i8g10h11h13j9i10j8j7h8g8h9h12h7, b
j10i9h10k9j9j8h6l10m11k8k11i8h8l8m8k7k6l6m5l7l9i7j7i10i11i6, w
j10i9j9j8k7i7i10l10k9k8m9l8m8i8h8i6i5l9l11j7m10h5, w
